date,kl_divergence,trigger
2016-01-01,0.0,0
2016-01-02,0.0,0
2016-01-03,0.0,0
2016-01-04,0.0,0
2016-01-05,0.0,0
2016-01-06,0.0,0
2016-01-07,0.0,0
2016-01-08,0.0,0
2016-01-09,0.0,0
2016-01-10,0.0,0
2016-01-11,0.0,0
2016-01-12,0.0,0
2016-01-13,0.0,0
2016-01-14,0.0,0
2016-01-15,0.0,0
2016-01-16,0.0,0
2016-01-17,0.0,0
2016-01-18,0.0,0
2016-01-19,0.0,0
2016-01-20,0.0,0
2016-01-21,0.0,0
2016-01-22,0.0,0
2016-01-23,0.0,0
2016-01-24,0.0,0
2016-01-25,0.0,0
2016-01-26,0.0,0
2016-01-27,0.0,0
2016-01-28,0.0,0
2016-01-29,0.0,0
2016-01-30,0.0,0
2016-01-31,0.5336963992607949,1
2016-02-01,0.519611433524207,1
2016-02-02,0.5466551389439243,1
2016-02-03,0.4801058176715097,1
2016-02-04,0.5723635629276982,1
2016-02-05,0.5762186415278997,1
2016-02-06,0.5139393098483002,1
2016-02-07,0.4540324862894874,1
2016-02-08,0.4648136095705676,1
2016-02-09,0.5539261899753845,1
2016-02-10,0.4610885483850943,1
2016-02-11,0.450646598390901,1
2016-02-12,0.48641435671925237,1
2016-02-13,0.47986169020587305,1
2016-02-14,0.47050740849880285,1
2016-02-15,0.4605336937132269,1
2016-02-16,0.5161603757229464,1
2016-02-17,0.5404296624750969,1
2016-02-18,0.5140613585532995,1
2016-02-19,0.5378396880941598,1
2016-02-20,0.6063018553368975,1
2016-02-21,0.5448949210002332,1
2016-02-22,0.5277311454201067,1
2016-02-23,0.5153138682474183,1
2016-02-24,0.49383147633513297,1
2016-02-25,0.4922675737959519,1
2016-02-26,0.4031643419873974,1
2016-02-27,0.38737732644879147,1
2016-02-28,0.47268786746649305,1
2016-02-29,0.472687867466493,1
2016-03-01,0.5030622629407104,1
2016-03-02,0.4278702565625384,1
2016-03-03,0.38014645430399613,1
2016-03-04,0.49269416006391553,1
2016-03-05,0.44223185664453707,1
2016-03-06,0.4234159909441172,1
2016-03-07,0.5438950305284123,1
2016-03-08,0.5007650980016268,1
2016-03-09,0.44751035188454924,1
2016-03-10,0.35034996033517896,1
2016-03-11,0.4193678569970004,1
2016-03-12,0.2888800486024818,1
2016-03-13,0.2770753128794032,1
2016-03-14,0.3208813420567273,1
2016-03-15,0.3059918384570573,1
2016-03-16,0.33085830461218846,1
2016-03-17,0.3060893760949613,1
2016-03-18,0.30340652838174126,1
2016-03-19,0.33089746076676263,1
2016-03-20,0.41995046343499337,1
2016-03-21,0.29944892846624127,1
2016-03-22,0.3531316480202248,1
2016-03-23,0.4762220907886357,1
2016-03-24,0.48441854553569585,1
2016-03-25,0.3492695064306945,1
2016-03-26,0.4592575143863351,1
2016-03-27,0.3943192672353315,1
2016-03-28,0.4010027386903489,1
2016-03-29,0.35922554230373976,1
2016-03-30,0.4028512232365943,1
2016-03-31,0.39126333165826505,1
2016-04-01,0.29607594928483233,1
2016-04-02,0.3390826832537659,1
2016-04-03,0.44484351279218837,1
2016-04-04,0.4463901559909288,1
2016-04-05,0.4936234577887069,1
2016-04-06,0.5273670947465191,1
2016-04-07,0.5503254040993205,1
2016-04-08,0.5425439432555782,1
2016-04-09,0.5935840681485268,1
2016-04-10,0.6278841808534603,1
2016-04-11,0.5652101215068602,1
2016-04-12,0.5059131895918476,1
2016-04-13,0.47482545628097417,1
2016-04-14,0.4711474505670261,1
2016-04-15,0.5828331163872832,1
2016-04-16,0.5526591634736123,1
2016-04-17,0.5357441907156134,1
2016-04-18,0.4481405881004433,1
2016-04-19,0.4135766031667259,1
2016-04-20,0.5030622629272421,1
2016-04-21,0.5008808731478847,1
2016-04-22,0.43032235793504875,1
2016-04-23,0.45816954233737545,1
2016-04-24,0.39126333169723776,1
2016-04-25,0.5037615706680109,1
2016-04-26,0.5449110303006611,1
2016-04-27,0.5187705573929361,1
2016-04-28,0.4856714665255298,1
2016-04-29,0.32951415830890723,1
2016-04-30,0.47357114614278206,1
2016-05-01,0.4206847111496886,1
2016-05-02,0.4379628191184432,1
2016-05-03,0.4164145985003912,1
2016-05-04,0.42814403054764044,1
2016-05-05,0.478574677890794,1
2016-05-06,0.5235359044023875,1
2016-05-07,0.4628152088902437,1
2016-05-08,0.5384478207998364,1
2016-05-09,0.5072969824910435,1
2016-05-10,0.5512478781951679,1
2016-05-11,0.519241689991651,1
2016-05-12,0.544295636965461,1
2016-05-13,0.5736306800791944,1
2016-05-14,0.4938314763634326,1
2016-05-15,0.47857467788759916,1
2016-05-16,0.48809408486320066,1
2016-05-17,0.4785746778875991,1
2016-05-18,0.4873785411277931,1
2016-05-19,0.47554142967055385,1
2016-05-20,0.4512068758869305,1
2016-05-21,0.4241410248787619,1
2016-05-22,0.46995524101091246,1
2016-05-23,0.5287420557924842,1
2016-05-24,0.5287420557924527,1
2016-05-25,0.5575934624463298,1
2016-05-26,0.5690715808069042,1
2016-05-27,0.5793552167256365,1
2016-05-28,0.590410418155324,1
2016-05-29,0.5690715808119209,1
2016-05-30,0.5526591635011504,1
2016-05-31,0.4785746778856131,1
2016-06-01,0.4451326944031471,1
2016-06-02,0.4519864207383809,1
2016-06-03,0.42565820965183004,1
2016-06-04,0.5015832222077693,1
2016-06-05,0.5308540712376041,1
2016-06-06,0.4766984792513744,1
2016-06-07,0.5520524073461816,1
2016-06-08,0.6036857124108158,1
2016-06-09,0.5812833650871608,1
2016-06-10,0.5134996719939868,1
2016-06-11,0.5311235508120132,1
2016-06-12,0.4535347809582249,1
2016-06-13,0.3359150215247768,1
2016-06-14,0.39217498805269346,1
2016-06-15,0.506799228231649,1
2016-06-16,0.4602057549146362,1
2016-06-17,0.350349960371496,1
2016-06-18,0.439560580510083,1
2016-06-19,0.4810293477864675,1
2016-06-20,0.4632859308229388,1
2016-06-21,0.41344865198429104,1
2016-06-22,0.5503254041154362,1
2016-06-23,0.6291887364731907,1
2016-06-24,0.5077419911148172,1
2016-06-25,0.48567146651547677,1
2016-06-26,0.5089552524515714,1
2016-06-27,0.5398091603252804,1
2016-06-28,0.39727500636129826,1
2016-06-29,0.40610260128724684,1
2016-06-30,0.42220028612196797,1
2016-07-01,0.42220028612196797,1
2016-07-02,0.44560880230737443,1
2016-07-03,0.4405102884812923,1
2016-07-04,0.42753715380699553,1
2016-07-05,0.45605012529235467,1
2016-07-06,0.5704472428404403,1
2016-07-07,0.6640290557967794,1
2016-07-08,0.6640290557881459,1
2016-07-09,0.5957483919396236,1
2016-07-10,0.6177070132959323,1
2016-07-11,0.580091228516193,1
2016-07-12,0.5671596148057574,1
2016-07-13,0.47587773816537265,1
2016-07-14,0.47740101652193956,1
2016-07-15,0.45893726057223266,1
2016-07-16,0.5047691479953463,1
2016-07-17,0.5037615705834263,1
2016-07-18,0.5026467232020092,1
2016-07-19,0.5011826647916281,1
