point,position_m,voi,depth_weight,nrmse_loso
P1,1716.0,0.4098483965203282,0.6697637795275591,0.9145593329755992
P2,1755.0,0.25929405890302665,0.7374803149606298,1.1022908434488266
P3,1792.0,0.21148053295420993,0.7644094488188975,1.3258959748830526
P4,1826.0,0.2028225947440818,0.7880314960629919,1.0089438003521443
P5,1858.0,0.19778974722721368,0.8187401574803149,1.1322337012905945
P6,1886.923076923077,0.2410751056480667,0.8399999999999999,0.9302019669865833
P7,1915.0,0.23285453278348406,0.8705511811023621,0.8876396995439108
P8,1946.0,0.20397825834587,0.900787401574803,1.1951373040338418
P9,1971.3846153846152,0.34914644928877164,0.9809448818897637,1.8659419879087518
P10,2000.0,0.3356972402818704,1.0,1.2227271335512206
P11,2029.0,0.41057160936793297,0.9009448818897636,2.2260123407222503
P12,2060.0,0.34050881784967774,0.561259842519685,1.7557640277258433
